text,label,roberta,roberta_score,input_length,gpt2,gpt2_score
#Yanukovych seems much more willing to take questions from the media than @user often is! #UkrAine,neutral,positive,0.5450576543807983,98,positive,0.9999969005584717
"Madison Bartley with nice debut tonight: made her only shot and finished with 5 boards, 3 blocks, and 2 steals in Fairmont's win over Tipp.",positive,positive,0.8199953436851501,139,positive,0.9999959468841553
@user @user @user @user ☞ ISIS Films Men Laughing While Woman Is Raped in Background,negative,negative,0.550408124923706,84,positive,0.999993085861206
"¡Gobble gobble, idiot hookers! #Thanksgiving #ScreamQueens",negative,negative,0.8929146528244019,58,negative,0.8658074736595154
Pelosi Challenger Brings ‘Industrial Midwest’ Perspective,neutral,neutral,0.8894288539886475,57,neutral,0.9995905756950378
#TPP is N.W.O.; 1%er's Corporatocracy;～Global Governance by Corporate Jews.【https://t.co/WZGQvZfJgo　https://t.co/vRaKoOEr73】#ows #tcot #p2,neutral,negative,0.6061875224113464,138,neutral,0.9971725940704346
@user I hear you. Not worth it. Its like arguing with the devil. That's why I'm on gab.ai. All us deplorables over there. Come join,negative,negative,0.8972031474113464,131,positive,0.9972931742668152
Power of 50+ years of unrelenting CIA propaganda for sure. Lest we also forget 50+ years illegal USA trade embargo…,neutral,negative,0.8037253618240356,115,neutral,0.8637858629226685
"Okay, @user I think I've got my #GilmoreGirlsTop4: Max, Jess, Luke, Sookie",neutral,neutral,0.5987563729286194,74,positive,0.9890379905700684
How To Get Medical Marijuana Dispensary Card Ontario,neutral,neutral,0.9305432438850403,52,neutral,0.9999662637710571
"@user Your progressive POS rag is as irrelevant as Michael Moore, one of your early editors.",negative,negative,0.9423037767410278,92,positive,0.9991934895515442
“It’s such a futuristic idea. A world in which the descendants of slaves become poets.” ~ Terrance Hayes #NBAwards,neutral,neutral,0.5821343064308167,114,neutral,0.9999858140945435
"are you gonna say ""suck it bitch"" to the people he mass deported? the people who've been terrorized by drone strike…",negative,negative,0.9411778450012207,116,negative,0.9986353516578674
"@user Why is no one screaming for gun control? Shouldn't that be the story MSM obsesses over? But no, they MUST discredit #PizzaGate",negative,negative,0.8237280249595642,132,negative,0.9999117851257324
@user Wow...this is one deadly statement! Reminding me of the Greta Muhammad Ali.,positive,negative,0.9308304786682129,81,positive,0.9994693398475647
#pmp course prep with @user in #tripoli #libya; 25% discount; only 5 seats left!,positive,positive,0.5323866009712219,80,positive,0.9999467134475708
i bought it for kh3 and persona 5 and ffxiv (tho i havent touched that in months,positive,neutral,0.7599878311157227,80,neutral,0.9764677882194519
Drop 75% Price: £7.88. Paperback: The Gay & Lesbian Marriage & Family Reader: Analyses of Problems and Prospe...,negative,neutral,0.8848009705543518,112,neutral,0.9961501359939575
@user @user @user @user You mean like Nancy Pelosi making millions on insider trading from her House sources?,neutral,neutral,0.6627072691917419,109,positive,0.9999825954437256
Can someone tell me where I can get a good red eyeshadow from?? (Not animal testing brands pls x),neutral,neutral,0.6381387114524841,97,positive,0.9999934434890747
Michael Hicks picks off Bishop Moore pass; after illegal-block penalty @user ball at its 33 7:50 2Q @user @user,neutral,neutral,0.9546419978141785,111,positive,0.9944274425506592
See @user and @user on TV talking about #Homeopathy #ten23,neutral,neutral,0.8244907259941101,58,positive,0.9999796152114868
"@user @user @user hi love the tweet, got stuff on social security tweet",positive,positive,0.9736595749855042,71,positive,0.9999991655349731
"@user Man who funded anti-Trump riots, Hillary, @user funded radicals to overthrow police, Ukraine go…",negative,negative,0.8235639333724976,102,positive,0.9999951124191284
"@user Stay right here, buddy. There are lots of nasty women and bad hombres that are staying too.",neutral,negative,0.8697142601013184,97,positive,0.8587692379951477
These Formula racing champs use 3D printing as a key part of their racing strategy. It's the perfect tool with only…,positive,positive,0.9153322577476501,116,neutral,0.8873187899589539
"#Russia-n and Chinese Defense Ministers discuss the latest development in #Libya, on the margin of a joint military…",neutral,neutral,0.9320834875106812,116,positive,0.9999537467956543
"Suarez on twitter: ""YNWA #StevenGerrard"" [@LuisSuarez9] #FCBlive",positive,neutral,0.7687668204307556,64,neutral,0.997920572757721
More happy tails!Gino and Rex have been adopted!Gino narrowly escaped euthanasia by heartstick. He is now the...,positive,positive,0.9624837636947632,112,positive,0.9998716115951538
"Electoral college hasn't even decided to vote for him, and he can't stop himself from fucking up. @user c…",negative,negative,0.9148086905479431,106,positive,0.9028878211975098
"Its to be expected from ""electing"" a Fascist Nazi",negative,negative,0.8353473544120789,49,negative,0.7666770815849304
"@user sadly, Putin has won big time over the past 10-15 years. His biggest triumph being the election of his proxy @user",positive,neutral,0.4259009063243866,120,positive,0.9999334812164307
US Airstrikes Hit 34 Daesh Fighting Positions Near Libya's Sirtehttps://t.co/E2aJFRljJx#Libya #News,neutral,neutral,0.6395756006240845,99,neutral,0.9685289859771729
watching Michael Moore in TrumpLand on @user,neutral,neutral,0.89533531665802,44,positive,0.9999402761459351
@user you were elected with promise to keep #Medicaid #Medicare Paul Ryan was not elected #POTUS PLEASE do not kill w his plan,negative,negative,0.6292964816093445,126,positive,0.9997320771217346
After finally watching the whole of #FantasticBeasts I can officially say that it is a bloody awesome film✨,positive,positive,0.9892328977584839,107,positive,0.9990460276603699
Creepy name dropping won't hide your fake followers @user #Thanksgiving!@RadioFreeTom @user,negative,negative,0.872545063495636,91,negative,0.998376727104187
No mention of miasms. #homeopathy,neutral,neutral,0.7421480417251587,33,neutral,0.9996631145477295
"*** COURTESY POST - URGENT - RESCUE ONLY ***In danger of euthanasia, rescue needed NOW. Spalding County is in...",negative,neutral,0.633812427520752,112,negative,0.9471185207366943
@user @user oh my godddd!@@@,positive,negative,0.5602296590805054,28,positive,0.9999982118606567
"@user @user I hope this isn't another attempt to get a 300 hitter from the National League who now hits 220 Tai wins Cy young, ew",negative,negative,0.7566946744918823,129,positive,0.9999996423721313
Omg I love Jill Scott why am I just now watching #ThankYouObama 😭,positive,positive,0.9781365990638733,65,positive,0.9999995231628418
"@user I'm still hype af for Berseria, Persona 5 and FFXV!",positive,positive,0.9793263673782349,57,positive,0.999996542930603
Niggas be broke that's the reason they hate flipping them burgers for minimum wage 😅,negative,negative,0.7847338318824768,84,negative,0.9999561309814453
"If their great-grandfathers who fought in WWII could see alt-rightists applauding ""Hail Trump,"" they'd give them such an ass-kicking...",negative,negative,0.7216489315032959,135,positive,0.9763107895851135
@user @user @user Well I will not stop complaining as your vote went towards a misogynist and a p*ssy grabber #StillWithHer,negative,negative,0.9076566100120544,123,positive,0.9999879598617554
"Fascinating interview with former Georgia President Mikheil Saakashvili - very candid about Putin, Trump & NATO",positive,positive,0.7806006073951721,111,neutral,0.8463719487190247
@user There isn't even a proper correlation because almost all of the decline in deaths&complications occurred BEFORE the vaccines,negative,negative,0.7643298506736755,130,positive,0.9708877205848694
"@user in a post-truth world of propaganda and organized voter suppression, can you make progress without using the same tools)",neutral,negative,0.5112414360046387,126,positive,0.9999089241027832
@user  death penalty for this dumb fawk,negative,negative,0.9399596452713013,39,positive,0.9998929500579834
"Poorly implemented app can be exploited to locate, unlock and steal a Tesla Model S",negative,negative,0.8596786856651306,83,neutral,0.9812894463539124
@user deadline for WI is today and hoping your people are on it and NOT this lying Putin loving scammer,neutral,negative,0.7033881545066833,103,negative,0.9709867835044861
@user @user @user @user @user Past Time to take care for our planet.,neutral,neutral,0.7633137106895447,68,positive,0.9999972581863403
"She doesn't care though, she says next year she's eligible for Medicaid.",neutral,neutral,0.6927275061607361,72,negative,0.9847800731658936
@user same (praise Kim Jong-un),positive,positive,0.7698298692703247,31,positive,0.9999988079071045
Don't forget to buy crap! Also who's got my #Hatchimals hookup,negative,negative,0.7807518839836121,62,negative,0.6201522350311279
What is Homeopathy | National Center for Homeopathy,neutral,neutral,0.9074367880821228,51,neutral,0.9997158646583557
no building or street or school will named after Fidel Castro in Cuba. That is Fidel's wish.@_cosatu @user @user @user #fidelcastro.,neutral,negative,0.586754322052002,132,neutral,0.7662616968154907
@user Stop Time Tonight,neutral,neutral,0.9263245463371277,23,positive,0.9999996423721313
4. One last time - #ArianaGrandehttps://t.co/0o4T0q3GsY,positive,neutral,0.7544316649436951,55,positive,0.9829187393188477
BOOM: Mass immigration has turned some UK towns into ghettos: Bombshell Report,negative,negative,0.8392994999885559,78,negative,0.9922071099281311
Dady is slaying the game of abs.AMÈM LIAM PAYNE #MtvStarsNiallHoran #MPN #OneDirection,neutral,positive,0.815331220626831,86,positive,0.9590948224067688
"@user Federal offices as POTUS ""NEED FEDERAL REGULATIONS, NOT STATE LAWS""~This needs to change to federal rules!",neutral,negative,0.574496865272522,112,positive,0.9995362758636475
More creepy Elton John info. #pizzagate #pedofiles #pedophiles #coverup,negative,negative,0.8396601676940918,71,neutral,0.9991518259048462
Why tf are tanks at a black lives matter protest but they nowhere to be found when the kkk is celebrating trump's v…,negative,negative,0.8271421790122986,116,negative,0.9952723383903503
@user I wish to be there lovely bro Sami💐Wishing you a successful wonderful and concert in Dubai lots of love…,positive,positive,0.9870431423187256,110,positive,0.9999997615814209
"@user Hi. I can't find the old episodes of #TheWalkingDead  on Virgin on Demand anymore: have they gone, or am I looking wrong? 😊 ❤📺",negative,neutral,0.7211703658103943,132,positive,0.9999833106994629
Commander of 5th infantry division visit #IraqiArmy and PMF wounded in #Baquba hospital#ام_الربيعين_تجمعنا#mosul…,neutral,neutral,0.7229012846946716,113,neutral,0.5543212294578552
.@PeterMonPhotog on #Periscope: Black lives matter protest continues,neutral,neutral,0.797024667263031,68,neutral,0.890795886516571
troubling application of deep learning,neutral,neutral,0.5317122936248779,38,neutral,0.9998527765274048
"@user @user oh, and Hillary most likely didn't win the popular vote, considering how many illegal votes were casted",negative,negative,0.7893977761268616,115,positive,0.9999995231628418
Free use-case based #DeepLearning course with #TensorFlow at @user #BigData…,neutral,positive,0.5587389469146729,76,positive,0.9986427426338196
As does the $$ the Secret Service must pay to fly on Trump planes to protect Melania & the kids.,neutral,neutral,0.5445947051048279,96,negative,0.999171257019043
"Honored to represent @user 2 discuss Robots, Materials, Energy & Agriculture at XI Innovation Congress #sswcee",positive,positive,0.9491686224937439,110,positive,0.9991129040718079
"Medical marijuana is legal in majority of America, yet veterans get no guidance thanks to VA policy…",negative,neutral,0.48971983790397644,100,negative,0.9999977350234985
".@CCFA Of all things, homeopathy? Patients need to know this is a scam with no basis in science (or reality).",negative,negative,0.9255809783935547,109,negative,0.9726588726043701
"SORRY, HARRY...I'M LEAVING YOU FOR YOUR TWIN: MARCEL #JK #Onedirection #HarryStyles",neutral,neutral,0.743890643119812,83,positive,0.9999676942825317
A Bronx Tale of Deplorables. .#PenceMusical,neutral,neutral,0.7906448841094971,43,neutral,0.9999920129776001
@user @user @user America was saved. Wake the hell up. You want 2M refugees? Global gov?TPP?Learn the facts goto college,negative,negative,0.825382649898529,120,positive,0.9999997615814209
Soz but u can't protest against animal testing if you eat meat & dairy. Laboratories are like a vacation compared to meat & dairy farms.,neutral,negative,0.6276711821556091,136,positive,0.8596556782722473
@user HBO hun...the show is really good. Get read to have Melania Trump facial expression for like three episodes though😂,positive,positive,0.9107224345207214,121,positive,0.9999979734420776
Thousands flee Raqqa as Turkish-Kurdish tensions threaten anti-IS campaign #ISIS,neutral,negative,0.7862014174461365,80,positive,0.9999443292617798
Dylan Not Dark Yetthis'll keep oneself loving life,positive,positive,0.8317344188690186,50,positive,0.9588545560836792
Worthy Read~,neutral,positive,0.947393536567688,12,neutral,0.9961309432983398
"""who's the most wiped out white boy? Zac Efron! Zac Efron!""",neutral,neutral,0.5612324476242065,59,positive,0.9065378308296204
Fan opinion: right now I would absolutely take Justin Verlander as a Red Sox. Hands down. #RedSox,positive,positive,0.7887262105941772,97,neutral,0.999995231628418
Bannon bringing Reagan back! #magahttps://t.co/FgL5uiKtJK via @user,neutral,neutral,0.6252504587173462,67,neutral,0.9834426045417786
Anti-Trump Protests And Riots Backfire!! Students Starting To Realize Th... via @user,neutral,negative,0.7278933525085449,85,positive,0.9997193217277527
"RT @user When they're literally doing a Nazi salute you don't have to fudge and call them ""alt right""",neutral,negative,0.6950089931488037,101,positive,0.9998188614845276
Steve Bannon Should Stay out of White House: Attorneys,negative,neutral,0.6709489822387695,54,neutral,0.9996947050094604
#humanrights #UnitedNations Palestinian capable of overcoming aches to help humanitarian aids!,neutral,positive,0.6699641346931458,94,positive,0.7791790962219238
#today Somewhere quite high on a road between Bala and Vyrnwy,neutral,neutral,0.9113321900367737,61,positive,0.9999815225601196
"@user isn't he the ultra conservative anti- gay marriage, anti-abortion, anti- everything guy?",negative,negative,0.6049473881721497,94,positive,0.9999940395355225
"And in my defense, I said Marcelo out of reflex but clarified that Cristiano Ronaldo dos Santos Aveiro is actually the best.",positive,positive,0.7629368901252747,124,negative,0.9972943663597107
Ashley Graham Lands Her First 'Vogue' Cover and Goes Au Naturel,neutral,neutral,0.7915081977844238,63,neutral,0.9952293634414673
"So I see the takes this week are split between ""the popular vote should reign supreme"" and ""enlightened electors should override the voters""",neutral,neutral,0.6633529663085938,140,neutral,0.9744424819946289
I think we should give all #ISIS members a Bible this #Christmas,neutral,negative,0.5957412123680115,64,neutral,0.9977744221687317
This is of concern for all of us,neutral,neutral,0.702945351600647,32,neutral,0.9993670582771301
"Even after the 4th time watching #FantasticBeasts, I still teared up at the John Williams opening scores. Such a cry baby 😭",positive,negative,0.5288591384887695,123,positive,0.4820009768009186
"@user Never will let - via the reluctance influx of robbed by Poroshenko Ukrainian, where millions of families live on $ 40 a month",negative,negative,0.80623459815979,131,positive,0.9999974966049194
Late Thanksgiving Day selfie #happyholidays #notsweaterweather…,positive,positive,0.9356621503829956,63,negative,0.988055408000946
"The ""rich white racists"" hurting ""brown people"" are the Liberals inciting riots & racial divide in America! #Putin'…",negative,negative,0.9066764116287231,116,negative,0.991084098815918
Banda Piper -  Ricky Martin (Livin' la vida loca) e Marron 5 (This love) via @user,neutral,neutral,0.8939383029937744,82,positive,0.9999351501464844
Tesla Factory overview    they're already producing Model 3 or S,neutral,neutral,0.8898293375968933,64,neutral,0.9998953342437744
I am so excited to see @user @user and @user on @user #GilmoreGirlsTop4 #FallonTonight,positive,positive,0.988621175289154,86,positive,0.9999994039535522
@user You and George Soros make a good team!,positive,positive,0.8371121287345886,44,positive,0.9999998807907104
Review: Google Earth VR - VR Today Magazine (apparently remarkable achievement!) @user #VR,positive,positive,0.9777039289474487,90,positive,0.9999988079071045
@user I followed Pope Francis' Latin twitter. I don't speak Latin.,neutral,neutral,0.8855487108230591,66,positive,0.9999985694885254
"@user But,her sis was big in election,familyRall writers&ACexpert on digi media,so logical cd increase # s",positive,neutral,0.6658414006233215,106,positive,0.9999762773513794
"Wait, Grayson Allen is still playing!? I know he looks like he's 12, but he's been there at least 6 years, right?",neutral,neutral,0.8259178996086121,113,neutral,0.6403495073318481
"Pelosi, always one to reward failure, is trying to burden House Dems with Ben Ray Lujan as DCCC chair again. She's now incapable of learning",negative,negative,0.9180924296379089,140,negative,0.716037929058075
"@user @user @user leftists have cried wolf a few too many times, while Trump supporters r getting assaulted actually.",negative,negative,0.8519748449325562,117,positive,0.9997277855873108
"So that's Obama Care, prosecuting Clinton & the Mexican border wall that he's now reneged on?! #lies #establishment…",negative,negative,0.8374610543251038,116,positive,0.7239522933959961
I want to see more robots fall in love with other robots,positive,neutral,0.4968145191669464,56,positive,0.9999971389770508
"There could be a thousand more Hairspray remakes, and I will still like the one with Zac Efron better.",positive,positive,0.8208129405975342,102,positive,0.9348878264427185
"A Battle to Change Medicare Is Brewing, Whether Trump Wants It or Nothttps://t.co/SYFgzYscjy#uniteblue #notmypresident",neutral,negative,0.559903621673584,118,positive,0.9525103569030762
"The same people (leftists) who fought for women and gays, wanna allow the risk of terrorist migration in this country that kills them.",negative,negative,0.8988037109375,134,negative,0.9998979568481445
#Solar-powered #water #supply #project #commissioned in #Yemen,neutral,neutral,0.887561559677124,62,positive,0.9997183680534363
Catching up on TWD #amc #TheWalkingDead,positive,neutral,0.8495028614997864,39,neutral,0.9967635869979858
Fossil fuels will still provide 80% of global #energy supply in 2035 said Dr. Eveloy @user at Network’s workshop…,neutral,neutral,0.8549164533615112,113,neutral,0.9998362064361572
FBI Is Doing their Job. COMEY Works for Putin.,neutral,neutral,0.575073778629303,46,negative,0.9999712705612183
DAPL doesn't effect a single cent of fossil fuels,neutral,negative,0.5472015738487244,49,negative,0.5804543495178223
@user @user @user Loyalty's V.important 2.Dems GOPe Press all working against him. Mitt foreign policy vision diff.,negative,neutral,0.7416691184043884,115,positive,0.9999717473983765
